"position","game_title","key","cited"
"90","Super Mario 3D World","supermario3dworld","1","['opencrict-2020']"
"89","Fortnite","fortnite","2","['ign-2019', 'popular-mechanics']"
"89","Celeste","celeste","2","['metacrict-2020', 'opencrict-2020']"
"88","Pokemon","pokemon","1","['game-designing']"
"87","Super Smash Brothers","supersmashbrothers","1","['game-designing']"
"86","Tony Hawk's Pro Skater 3","tonyhawksproskater3","1","['metacrict-2020']"
"86","DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition","dragonquestxisechoesofanelusiveagedefinitiveedition","1","['opencrict-2020']"
"85","Diablo III","diabloiii","1","['game-designing']"
"85","Perfect Dark","perfectdark","1","['metacrict-2020']"
"85","The Last of Us Part II","thelastofuspartii","1","['opencrict-2020']"
"85","Return of the Obra Dinn","returnoftheobradinn","2","['opencrict-2020', 'slant-magazine']"
"85","Zork","zork","2","['popular-mechanics', 'time-magazine']"
"84","Mother 3","mother3","1","['popular-mechanics']"
"83","Half-Life: Alyx","halflifealyx","1","['opencrict-2020']"
"83","Asteroids","asteroids","1","['popular-mechanics']"
"82","The Witcher 3: Wild Hunt - Blood and Wine","thewitcher3wildhuntbloodandwine","1","['opencrict-2020']"
"81","Rock Band 3","rockband3","2","['popular-mechanics', 'slant-magazine']"
"81","Planescape: Torment","planescapetorment","1","['slant-magazine']"
"81"," Space Invaders","spaceinvaders","1","['time-magazine']"
"80","Pacman","pacman","1","['game-designing']"
"80","Minecraft: PlayStation 4 Edition","minecraftplaystation4edition","1","['opencrict-2020']"
"79","Okami","okami","1","['slant-magazine']"
"78","NFL 2K1","nfl2k1","1","['metacrict-2020']"
"78","Forza Horizon 4","forzahorizon4","1","['opencrict-2020']"
"78","Civilization II","civilizationii","1","['popular-mechanics']"
"77","Fallout 2","fallout2","2","['ign-2019', 'slant-magazine']"
"77","Super Smash Bros. for Wii U","supersmashbrosforwiiu","1","['opencrict-2020']"
"77","Kentucky Route Zero","kentuckyroutezero","1","['slant-magazine']"
"77"," Microsoft Flight Simulator X","microsoftflightsimulatorx","1","['time-magazine']"
"76","Demon's Souls (2020 Remake)","demonssouls2020remake","1","['opencrict-2020']"
"76","Stardew Valley","stardewvalley","2","['opencrict-2020', 'popular-mechanics']"
"76","Red Dead Redemption II","reddeadredemptionii","1","['popular-mechanics']"
"74","Assassin's Creed II","assassinscreedii","1","['popular-mechanics']"
"74"," StarCraft II: Wings of Liberty","starcraftiiwingsofliberty","1","['time-magazine']"
"73","Max Payne","maxpayne","1","['slant-magazine']"
"73"," Mortal Kombat","mortalkombat","1","['time-magazine']"
"72","Uncharted 4: A Thief's End","uncharted4athiefsend","1","['opencrict-2020']"
"71","Microsoft Flight Simulator","microsoftflightsimulator","1","['opencrict-2020']"
"71","Final Fantasy Tactics","finalfantasytactics","1","['slant-magazine']"
"69","Grim Fandango","grimfandango","3","['metacrict-2020', 'popular-mechanics', 'slant-magazine']"
"69","NieR: Automata Become as Gods Edition","nierautomatabecomeasgodsedition","1","['opencrict-2020']"
"68"," Wolfenstein 3D","wolfenstein3d","1","['time-magazine']"
"67","Divinity: Original Sin 2 – Definitive Edition","divinityoriginalsin2definitiveedition","1","['opencrict-2020']"
"66","NieR: Automata Game of the YoRHa Edition","nierautomatagameoftheyorhaedition","1","['opencrict-2020']"
"66","Psychonauts","psychonauts","1","['slant-magazine']"
"65","Pokémon Yellow","pokémonyellow","1","['ign-2019']"
"63","Bayonetta 2","bayonetta2","1","['opencrict-2020']"
"63","Outer Wilds","outerwilds","1","['slant-magazine']"
"62","Fallout: New Vegas ","falloutnewvegas","1","['ign-2019']"
"62","Final Fantasy XIV: Shadowbringers","finalfantasyxivshadowbringers","1","['opencrict-2020']"
"61","Forza Horizon 3","forzahorizon3","1","['opencrict-2020']"
"61","Gone Home","gonehome","2","['popular-mechanics', 'slant-magazine']"
"61"," Castlevania","castlevania","1","['time-magazine']"
"60","Gran Turismo","granturismo","1","['metacrict-2020']"
"60"," Pong","pong","1","['time-magazine']"
"59"," ESPN NFL 2K5","espnnfl2k5","1","['time-magazine']"
"58","Monster Hunter: World","monsterhunterworld","2","['ign-2019', 'opencrict-2020']"
"58","Metal Gear Solid 2: Sons of Liberty","metalgearsolid2sonsofliberty","1","['metacrict-2020']"
"58","Crusader Kings III","crusaderkingsiii","1","['opencrict-2020']"
"57","Resident Evil","residentevil","1","['ign-2019']"
"57","Grand Theft Auto Double Pack","grandtheftautodoublepack","1","['metacrict-2020']"
"57","Mortal Kombat 11 Ultimate","mortalkombat11ultimate","1","['opencrict-2020']"
"57"," Call of Duty 2","callofduty2","1","['time-magazine']"
"56","Mega Man 3","megaman3","2","['ign-2019', 'slant-magazine']"
